# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 92, 2026061800, 03, FNV3, 132, 193N, 1262E, 101,  952, XX,  50, NEQ,   68,   65,   52,   58,     ,     ,  16,
WP, 92, 2026061800, 03, FNV3, 132, 193N, 1262E, 101,  952, XX,  64, NEQ,   39,   36,   30,   32,     ,     ,  16,
WP, 92, 2026061800, 03, FNV3, 138, 199N, 1261E,  98,  954, XX,  34, NEQ,  137,  136,  114,  116,     ,     ,  16,
WP, 92, 2026061800, 03, FNV3, 138, 199N, 1261E,  98,  954, XX,  50, NEQ,   66,   64,   52,   57,     ,     ,  16,
WP, 92, 2026061800, 03, FNV3, 138, 199N, 1261E,  98,  954, XX,  64, NEQ,   36,   34,   29,   31,     ,     ,  16,
WP, 92, 2026061800, 03, FNV3, 144, 205N, 1260E,  94,  957, XX,  34, NEQ,  143,  145,  124,  119,     ,     ,  17,
WP, 92, 2026061800, 03, FNV3, 144, 205N, 1260E,  94,  957, XX,  50, NEQ,   69,   67,   56,   59,     ,     ,  17,
WP, 92, 2026061800, 03, FNV3, 144, 205N, 1260E,  94,  957, XX,  64, NEQ,   37,   37,   30,   32,     ,     ,  17,
WP, 92, 2026061800, 03, FNV3, 150, 212N, 1260E,  94,  956, XX,  34, NEQ,  141,  149,  124,  117,     ,     ,  19,
WP, 92, 2026061800, 03, FNV3, 150, 212N, 1260E,  94,  956, XX,  50, NEQ,   70,   70,   58,   60,     ,     ,  19,
WP, 92, 2026061800, 03, FNV3, 150, 212N, 1260E,  94,  956, XX,  64, NEQ,   37,   37,   30,   32,     ,     ,  19,
WP, 92, 2026061800, 03, FNV3, 156, 218N, 1261E,  84,  964, XX,  34, NEQ,  148,  156,  132,  126,     ,     ,  21,
WP, 92, 2026061800, 03, FNV3, 156, 218N, 1261E,  84,  964, XX,  50, NEQ,   78,   78,   66,   67,     ,     ,  21,
WP, 92, 2026061800, 03, FNV3, 156, 218N, 1261E,  84,  964, XX,  64, NEQ,   40,   40,   33,   34,     ,     ,  21,
WP, 92, 2026061800, 03, FNV3, 162, 224N, 1262E,  81,  965, XX,  34, NEQ,  157,  160,  133,  132,     ,     ,  22,
WP, 92, 2026061800, 03, FNV3, 162, 224N, 1262E,  81,  965, XX,  50, NEQ,   77,   76,   62,   65,     ,     ,  22,
WP, 92, 2026061800, 03, FNV3, 162, 224N, 1262E,  81,  965, XX,  64, NEQ,   34,   34,   27,   28,     ,     ,  22,
WP, 92, 2026061800, 03, FNV3, 168, 232N, 1264E,  75,  969, XX,  34, NEQ,  143,  150,  126,  118,     ,     ,  24,
WP, 92, 2026061800, 03, FNV3, 168, 232N, 1264E,  75,  969, XX,  50, NEQ,   67,   67,   55,   56,     ,     ,  24,
WP, 92, 2026061800, 03, FNV3, 168, 232N, 1264E,  75,  969, XX,  64, NEQ,   28,   27,   22,   22,     ,     ,  24,
WP, 92, 2026061800, 03, FNV3, 174, 242N, 1264E,  72,  971, XX,  34, NEQ,  146,  152,  122,  119,     ,     ,  28,
WP, 92, 2026061800, 03, FNV3, 174, 242N, 1264E,  72,  971, XX,  50, NEQ,   64,   65,   51,   53,     ,     ,  28,
WP, 92, 2026061800, 03, FNV3, 174, 242N, 1264E,  72,  971, XX,  64, NEQ,   27,   25,   21,   22,     ,     ,  28,
WP, 92, 2026061800, 03, FNV3, 180, 251N, 1266E,  71,  972, XX,  34, NEQ,  141,  145,  118,  115,     ,     ,  29,
WP, 92, 2026061800, 03, FNV3, 180, 251N, 1266E,  71,  972, XX,  50, NEQ,   61,   62,   47,   50,     ,     ,  29,
WP, 92, 2026061800, 03, FNV3, 180, 251N, 1266E,  71,  972, XX,  64, NEQ,   23,   23,   18,   19,     ,     ,  29,
WP, 92, 2026061800, 03, FNV3, 186, 262N, 1269E,  65,  975, XX,  34, NEQ,  137,  139,  110,  110,     ,     ,  30,
WP, 92, 2026061800, 03, FNV3, 186, 262N, 1269E,  65,  975, XX,  50, NEQ,   49,   48,   36,   39,     ,     ,  30,
WP, 92, 2026061800, 03, FNV3, 186, 262N, 1269E,  65,  975, XX,  64, NEQ,   17,   16,   12,   13,     ,     ,  30,
WP, 92, 2026061800, 03, FNV3, 192, 275N, 1272E,  61,  977, XX,  34, NEQ,  128,  132,  103,  103,     ,     ,  37,
WP, 92, 2026061800, 03, FNV3, 192, 275N, 1272E,  61,  977, XX,  50, NEQ,   40,   40,   31,   31,     ,     ,  37,
WP, 92, 2026061800, 03, FNV3, 192, 275N, 1272E,  61,  977, XX,  64, NEQ,   13,   13,   11,   10,     ,     ,  37,
WP, 92, 2026061800, 03, FNV3, 198, 289N, 1278E,  58,  978, XX,  34, NEQ,  111,  111,   86,   87,     ,     ,  34,
WP, 92, 2026061800, 03, FNV3, 198, 289N, 1278E,  58,  978, XX,  50, NEQ,   36,   38,   27,   30,     ,     ,  34,
WP, 92, 2026061800, 03, FNV3, 198, 289N, 1278E,  58,  978, XX,  64, NEQ,   11,   11,    9,   10,     ,     ,  34,
