# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 97, 2026012912, 03, FNV3, 156, 281S,  587E,  36,  999, XX,  34, NEQ,   33,   29,   22,   21,     ,     ,  45,
IO, 97, 2026012912, 03, FNV3, 156, 281S,  587E,  36,  999, XX,  50, NEQ,    2,    1,    0,    1,     ,     ,  45,
IO, 97, 2026012912, 03, FNV3, 162, 291S,  595E,  35,  999, XX,  34, NEQ,   26,   22,   15,   17,     ,     ,  45,
IO, 97, 2026012912, 03, FNV3, 162, 291S,  595E,  35,  999, XX,  50, NEQ,    2,    2,    1,    2,     ,     ,  45,
IO, 97, 2026012912, 03, FNV3, 168, 299S,  602E,  34,  999, XX,  34, NEQ,   24,   22,   14,   15,     ,     ,  46,
IO, 97, 2026012912, 03, FNV3, 168, 299S,  602E,  34,  999, XX,  50, NEQ,    3,    1,    1,    1,     ,     ,  46,
IO, 97, 2026012912, 03, FNV3, 174, 299S,  597E,  33,  999, XX,  34, NEQ,   24,   23,   14,   13,     ,     ,  43,
IO, 97, 2026012912, 03, FNV3, 174, 299S,  597E,  33,  999, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  43,
SH, 18, 2026012912, 03, FNV3,   0, 262S, 1725E,  39,  996, XX,  34, NEQ,     ,  120,  100,     ,     ,     ,  50,
SH, 18, 2026012912, 03, FNV3,   6, 268S, 1719E,  30,  999, XX,  34, NEQ,    6,    4,    6,    2,     ,     ,  52,
SH, 18, 2026012912, 03, FNV3,  12, 273S, 1712E,  26, 1000, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  46,
SH, 18, 2026012912, 03, FNV3,  18, 276S, 1707E,  23, 1002, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  49,
SH, 18, 2026012912, 03, FNV3,  24, 280S, 1701E,  21, 1002, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  45,
SH, 18, 2026012912, 03, FNV3,  30, 284S, 1696E,  19, 1004, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  46,
SH, 18, 2026012912, 03, FNV3,  36, 289S, 1693E,  18, 1004, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  45,
SH, 18, 2026012912, 03, FNV3,  42, 292S, 1691E,  17, 1004, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  47,
SH, 18, 2026012912, 03, FNV3,  48, 296S, 1686E,  18, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  45,
