# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026032300, 03, FNV3, 132, 357S, 1208E,  33,  992, XX,  34, NEQ,   15,    5,    5,    7,     ,     ,  54,
SH, 27, 2026032300, 03, FNV3, 138, 372S, 1222E,  35,  991, XX,  34, NEQ,   34,   20,   14,   12,     ,     ,  67,
SH, 28, 2026032300, 03, FNV3,   0, 172S, 1625E,  35,  996, XX,  34, NEQ,  175,  120,     ,     ,     ,     ,  35,
SH, 28, 2026032300, 03, FNV3,   6, 185S, 1628E,  37,  997, XX,  34, NEQ,   36,   25,   24,   18,     ,     ,  44,
SH, 28, 2026032300, 03, FNV3,   6, 185S, 1628E,  37,  997, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  44,
SH, 28, 2026032300, 03, FNV3,  12, 202S, 1628E,  43,  993, XX,  34, NEQ,   70,   70,   51,   51,     ,     ,  40,
SH, 28, 2026032300, 03, FNV3,  12, 202S, 1628E,  43,  993, XX,  50, NEQ,    4,    2,    1,    1,     ,     ,  40,
SH, 28, 2026032300, 03, FNV3,  12, 202S, 1628E,  43,  993, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  40,
SH, 28, 2026032300, 03, FNV3,  18, 220S, 1632E,  44,  993, XX,  34, NEQ,   71,   78,   57,   53,     ,     ,  34,
SH, 28, 2026032300, 03, FNV3,  18, 220S, 1632E,  44,  993, XX,  50, NEQ,    5,    4,    3,    3,     ,     ,  34,
SH, 28, 2026032300, 03, FNV3,  24, 241S, 1635E,  41,  994, XX,  34, NEQ,   74,   81,   61,   57,     ,     ,  42,
SH, 28, 2026032300, 03, FNV3,  24, 241S, 1635E,  41,  994, XX,  50, NEQ,    3,    2,    1,    1,     ,     ,  42,
SH, 28, 2026032300, 03, FNV3,  30, 267S, 1637E,  39,  994, XX,  34, NEQ,   64,   69,   52,   47,     ,     ,  49,
SH, 28, 2026032300, 03, FNV3,  30, 267S, 1637E,  39,  994, XX,  50, NEQ,    0,    0,    1,    0,     ,     ,  49,
SH, 28, 2026032300, 03, FNV3,  36, 287S, 1634E,  41,  992, XX,  34, NEQ,   67,   75,   59,   48,     ,     ,  54,
