# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 09, 2025121912, 03, FNV3, 264, 135S,  744E,  91,  964, XX,  64, NEQ,   22,   24,   21,   21,     ,     ,  14,
IO, 09, 2025121912, 03, FNV3, 270, 138S,  739E,  90,  966, XX,  34, NEQ,   71,   93,   94,   69,     ,     ,  17,
IO, 09, 2025121912, 03, FNV3, 270, 138S,  739E,  90,  966, XX,  50, NEQ,   38,   46,   42,   35,     ,     ,  17,
IO, 09, 2025121912, 03, FNV3, 270, 138S,  739E,  90,  966, XX,  64, NEQ,   22,   24,   21,   20,     ,     ,  17,
IO, 09, 2025121912, 03, FNV3, 276, 140S,  734E,  88,  966, XX,  34, NEQ,   84,  106,  104,   79,     ,     ,  15,
IO, 09, 2025121912, 03, FNV3, 276, 140S,  734E,  88,  966, XX,  50, NEQ,   41,   48,   44,   37,     ,     ,  15,
IO, 09, 2025121912, 03, FNV3, 276, 140S,  734E,  88,  966, XX,  64, NEQ,   21,   23,   21,   19,     ,     ,  15,
IO, 09, 2025121912, 03, FNV3, 282, 143S,  728E,  89,  967, XX,  34, NEQ,   72,   96,   98,   69,     ,     ,  16,
IO, 09, 2025121912, 03, FNV3, 282, 143S,  728E,  89,  967, XX,  50, NEQ,   39,   46,   45,   36,     ,     ,  16,
IO, 09, 2025121912, 03, FNV3, 282, 143S,  728E,  89,  967, XX,  64, NEQ,   23,   25,   22,   21,     ,     ,  16,
IO, 09, 2025121912, 03, FNV3, 288, 145S,  723E,  86,  968, XX,  34, NEQ,   81,  104,  103,   76,     ,     ,  17,
IO, 09, 2025121912, 03, FNV3, 288, 145S,  723E,  86,  968, XX,  50, NEQ,   42,   49,   47,   37,     ,     ,  17,
IO, 09, 2025121912, 03, FNV3, 288, 145S,  723E,  86,  968, XX,  64, NEQ,   22,   26,   22,   20,     ,     ,  17,
IO, 09, 2025121912, 03, FNV3, 294, 147S,  717E,  85,  967, XX,  34, NEQ,   82,  102,  103,   78,     ,     ,  19,
IO, 09, 2025121912, 03, FNV3, 294, 147S,  717E,  85,  967, XX,  50, NEQ,   42,   49,   46,   38,     ,     ,  19,
IO, 09, 2025121912, 03, FNV3, 294, 147S,  717E,  85,  967, XX,  64, NEQ,   22,   25,   21,   20,     ,     ,  19,
IO, 09, 2025121912, 03, FNV3, 300, 150S,  712E,  84,  969, XX,  34, NEQ,   83,  104,  105,   77,     ,     ,  20,
IO, 09, 2025121912, 03, FNV3, 300, 150S,  712E,  84,  969, XX,  50, NEQ,   41,   48,   47,   38,     ,     ,  20,
IO, 09, 2025121912, 03, FNV3, 300, 150S,  712E,  84,  969, XX,  64, NEQ,   22,   24,   21,   20,     ,     ,  20,
IO, 09, 2025121912, 03, FNV3, 306, 153S,  707E,  87,  968, XX,  34, NEQ,   80,  101,  102,   77,     ,     ,  17,
IO, 09, 2025121912, 03, FNV3, 306, 153S,  707E,  87,  968, XX,  50, NEQ,   41,   48,   46,   37,     ,     ,  17,
IO, 09, 2025121912, 03, FNV3, 306, 153S,  707E,  87,  968, XX,  64, NEQ,   23,   25,   23,   21,     ,     ,  17,
IO, 09, 2025121912, 03, FNV3, 312, 156S,  702E,  80,  970, XX,  34, NEQ,   83,  107,  105,   77,     ,     ,  21,
IO, 09, 2025121912, 03, FNV3, 312, 156S,  702E,  80,  970, XX,  50, NEQ,   43,   50,   47,   39,     ,     ,  21,
IO, 09, 2025121912, 03, FNV3, 312, 156S,  702E,  80,  970, XX,  64, NEQ,   22,   24,   21,   20,     ,     ,  21,
