# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026032206, 03, FNV3, 138, 329S, 1174E,  35,  992, XX,  50, NEQ,    1,    1,    0,    0,     ,     ,  50,
SH, 27, 2026032206, 03, FNV3, 144, 342S, 1183E,  31,  994, XX,  34, NEQ,   21,   14,    6,    4,     ,     ,  65,
SH, 27, 2026032206, 03, FNV3, 150, 355S, 1202E,  35,  994, XX,  34, NEQ,   19,    6,    4,    1,     ,     ,  62,
SH, 98, 2026032206, 03, FNV3,   0, 132S, 1610E,  25, 1001, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  50,
SH, 98, 2026032206, 03, FNV3,   6, 145S, 1621E,  31, 1000, XX,  34, NEQ,    4,    1,    1,    2,     ,     ,  46,
SH, 98, 2026032206, 03, FNV3,  12, 156S, 1626E,  34,  999, XX,  34, NEQ,   21,   10,    7,    7,     ,     ,  45,
SH, 98, 2026032206, 03, FNV3,  18, 170S, 1628E,  36,  998, XX,  34, NEQ,   26,   17,    8,   10,     ,     ,  42,
SH, 98, 2026032206, 03, FNV3,  24, 185S, 1632E,  41,  996, XX,  34, NEQ,   46,   45,   33,   31,     ,     ,  43,
SH, 98, 2026032206, 03, FNV3,  24, 185S, 1632E,  41,  996, XX,  50, NEQ,    3,    1,    1,    1,     ,     ,  43,
SH, 98, 2026032206, 03, FNV3,  30, 203S, 1637E,  47,  993, XX,  34, NEQ,   58,   58,   41,   41,     ,     ,  30,
SH, 98, 2026032206, 03, FNV3,  30, 203S, 1637E,  47,  993, XX,  50, NEQ,   10,    7,    4,    5,     ,     ,  30,
SH, 98, 2026032206, 03, FNV3,  36, 223S, 1642E,  47,  993, XX,  34, NEQ,   76,   77,   57,   54,     ,     ,  32,
SH, 98, 2026032206, 03, FNV3,  36, 223S, 1642E,  47,  993, XX,  50, NEQ,   10,   10,    6,    6,     ,     ,  32,
SH, 98, 2026032206, 03, FNV3,  36, 223S, 1642E,  47,  993, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  32,
SH, 98, 2026032206, 03, FNV3,  42, 245S, 1642E,  44,  993, XX,  34, NEQ,   89,   98,   74,   69,     ,     ,  40,
SH, 98, 2026032206, 03, FNV3,  42, 245S, 1642E,  44,  993, XX,  50, NEQ,    8,    5,    2,    2,     ,     ,  40,
SH, 98, 2026032206, 03, FNV3,  48, 269S, 1644E,  41,  993, XX,  34, NEQ,   84,   85,   66,   62,     ,     ,  47,
SH, 98, 2026032206, 03, FNV3,  48, 269S, 1644E,  41,  993, XX,  50, NEQ,    0,    0,    1,    0,     ,     ,  47,
SH, 98, 2026032206, 03, FNV3,  54, 290S, 1644E,  41,  993, XX,  34, NEQ,   62,   78,   55,   45,     ,     ,  51,
SH, 98, 2026032206, 03, FNV3,  54, 290S, 1644E,  41,  993, XX,  50, NEQ,    1,    0,    1,    0,     ,     ,  51,
SH, 98, 2026032206, 03, FNV3,  60, 307S, 1643E,  41,  992, XX,  34, NEQ,   33,   56,   30,   24,     ,     ,  50,
SH, 98, 2026032206, 03, FNV3,  60, 307S, 1643E,  41,  992, XX,  50, NEQ,    3,    0,    0,    1,     ,     ,  50,
SH, 98, 2026032206, 03, FNV3,  66, 322S, 1641E,  40,  994, XX,  34, NEQ,   17,   27,   20,    6,     ,     ,  54,
SH, 98, 2026032206, 03, FNV3,  72, 336S, 1642E,  37,  992, XX,  34, NEQ,   16,   14,   18,    4,     ,     ,  53,
SH, 98, 2026032206, 03, FNV3,  78, 353S, 1649E,  39,  988, XX,  34, NEQ,   23,   23,   11,    1,     ,     ,  60,
