# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 98, 2026032212, 03, FNV3,  18, 183S, 1629E,  42,  995, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  44,
SH, 98, 2026032212, 03, FNV3,  24, 202S, 1633E,  50,  991, XX,  34, NEQ,   79,   78,   57,   59,     ,     ,  30,
SH, 98, 2026032212, 03, FNV3,  24, 202S, 1633E,  50,  991, XX,  50, NEQ,   15,   12,    8,    9,     ,     ,  30,
SH, 98, 2026032212, 03, FNV3,  24, 202S, 1633E,  50,  991, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  30,
SH, 98, 2026032212, 03, FNV3,  30, 223S, 1637E,  52,  990, XX,  34, NEQ,   89,   93,   69,   63,     ,     ,  27,
SH, 98, 2026032212, 03, FNV3,  30, 223S, 1637E,  52,  990, XX,  50, NEQ,   17,   18,   11,   11,     ,     ,  27,
SH, 98, 2026032212, 03, FNV3,  30, 223S, 1637E,  52,  990, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  27,
SH, 98, 2026032212, 03, FNV3,  36, 246S, 1637E,  46,  992, XX,  34, NEQ,   81,   90,   67,   61,     ,     ,  35,
SH, 98, 2026032212, 03, FNV3,  36, 246S, 1637E,  46,  992, XX,  50, NEQ,    8,    9,    5,    4,     ,     ,  35,
SH, 98, 2026032212, 03, FNV3,  42, 269S, 1638E,  44,  991, XX,  34, NEQ,  104,  112,   89,   80,     ,     ,  44,
SH, 98, 2026032212, 03, FNV3,  42, 269S, 1638E,  44,  991, XX,  50, NEQ,    5,    5,    4,    3,     ,     ,  44,
SH, 98, 2026032212, 03, FNV3,  48, 288S, 1635E,  44,  990, XX,  34, NEQ,   80,   89,   68,   58,     ,     ,  55,
SH, 98, 2026032212, 03, FNV3,  48, 288S, 1635E,  44,  990, XX,  50, NEQ,    2,    5,    4,    1,     ,     ,  55,
SH, 98, 2026032212, 03, FNV3,  54, 302S, 1631E,  42,  992, XX,  34, NEQ,   26,   51,   27,   18,     ,     ,  49,
SH, 98, 2026032212, 03, FNV3,  54, 302S, 1631E,  42,  992, XX,  50, NEQ,    0,    3,    0,    0,     ,     ,  49,
SH, 98, 2026032212, 03, FNV3,  60, 316S, 1629E,  40,  993, XX,  34, NEQ,   30,   37,   24,   14,     ,     ,  57,
SH, 98, 2026032212, 03, FNV3,  66, 331S, 1634E,  38,  992, XX,  34, NEQ,   24,   26,   19,   10,     ,     ,  59,
SH, 98, 2026032212, 03, FNV3,  66, 331S, 1634E,  38,  992, XX,  50, NEQ,    0,    0,    0,    2,     ,     ,  59,
SH, 98, 2026032212, 03, FNV3,  72, 345S, 1639E,  40,  990, XX,  34, NEQ,   50,   28,   27,   21,     ,     ,  58,
SH, 98, 2026032212, 03, FNV3,  72, 345S, 1639E,  40,  990, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  58,
