# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 12, 2025080112, 03, FNV3,  30, 390N, 1481E,  42,  987, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  39,
WP, 12, 2025080112, 03, FNV3,  36, 398N, 1511E,  41,  989, XX,  34, NEQ,   40,   45,   35,   31,     ,     ,  44,
WP, 12, 2025080112, 03, FNV3,  36, 398N, 1511E,  41,  989, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  44,
WP, 12, 2025080112, 03, FNV3,  42, 405N, 1543E,  38,  990, XX,  34, NEQ,   27,   32,   26,   21,     ,     ,  45,
WP, 12, 2025080112, 03, FNV3,  42, 405N, 1543E,  38,  990, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  45,
WP, 12, 2025080112, 03, FNV3,  48, 411N, 1575E,  35,  992, XX,  34, NEQ,   11,   16,   12,    9,     ,     ,  49,
WP, 12, 2025080112, 03, FNV3,  54, 416N, 1606E,  33,  993, XX,  34, NEQ,    2,    7,    4,    2,     ,     ,  52,
WP, 12, 2025080112, 03, FNV3,  60, 421N, 1634E,  32,  994, XX,  34, NEQ,    3,    7,    4,    2,     ,     ,  59,
WP, 12, 2025080112, 03, FNV3,  66, 425N, 1664E,  34,  994, XX,  34, NEQ,    4,    7,    5,    3,     ,     ,  55,
WP, 12, 2025080112, 03, FNV3,  72, 426N, 1693E,  34,  995, XX,  34, NEQ,    3,    6,    3,    2,     ,     ,  64,
WP, 12, 2025080112, 03, FNV3,  78, 428N, 1722E,  33,  996, XX,  34, NEQ,    5,    7,    4,    3,     ,     ,  66,
WP, 12, 2025080112, 03, FNV3,  84, 428N, 1752E,  31,  998, XX,  34, NEQ,    1,    3,    1,    1,     ,     ,  70,
WP, 12, 2025080112, 03, FNV3,  90, 431N, 1786E,  31,  999, XX,  34, NEQ,    9,   11,    9,    8,     ,     ,  67,
