# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 11, 2025090106, 03, FNV3, 156, 170N, 1453W,  73,  984, XX,  64, NEQ,   12,   10,    8,   10,     ,     ,  21,
EP, 11, 2025090106, 03, FNV3, 162, 173N, 1465W,  70,  986, XX,  34, NEQ,   53,   41,   30,   46,     ,     ,  22,
EP, 11, 2025090106, 03, FNV3, 162, 173N, 1465W,  70,  986, XX,  50, NEQ,   22,   18,   14,   19,     ,     ,  22,
EP, 11, 2025090106, 03, FNV3, 162, 173N, 1465W,  70,  986, XX,  64, NEQ,   10,    8,    6,    8,     ,     ,  22,
EP, 11, 2025090106, 03, FNV3, 168, 175N, 1476W,  65,  989, XX,  34, NEQ,   54,   40,   29,   47,     ,     ,  21,
EP, 11, 2025090106, 03, FNV3, 168, 175N, 1476W,  65,  989, XX,  50, NEQ,   22,   17,   13,   18,     ,     ,  21,
EP, 11, 2025090106, 03, FNV3, 168, 175N, 1476W,  65,  989, XX,  64, NEQ,    8,    6,    5,    7,     ,     ,  21,
EP, 11, 2025090106, 03, FNV3, 174, 177N, 1488W,  61,  992, XX,  34, NEQ,   54,   41,   28,   46,     ,     ,  24,
EP, 11, 2025090106, 03, FNV3, 174, 177N, 1488W,  61,  992, XX,  50, NEQ,   18,   14,   10,   15,     ,     ,  24,
EP, 11, 2025090106, 03, FNV3, 174, 177N, 1488W,  61,  992, XX,  64, NEQ,    6,    5,    4,    5,     ,     ,  24,
EP, 11, 2025090106, 03, FNV3, 180, 179N, 1500W,  57,  994, XX,  34, NEQ,   52,   39,   27,   45,     ,     ,  24,
EP, 11, 2025090106, 03, FNV3, 180, 179N, 1500W,  57,  994, XX,  50, NEQ,   17,   13,   10,   14,     ,     ,  24,
EP, 11, 2025090106, 03, FNV3, 180, 179N, 1500W,  57,  994, XX,  64, NEQ,    5,    4,    3,    4,     ,     ,  24,
EP, 11, 2025090106, 03, FNV3, 186, 181N, 1513W,  52,  997, XX,  34, NEQ,   44,   32,   21,   36,     ,     ,  30,
EP, 11, 2025090106, 03, FNV3, 186, 181N, 1513W,  52,  997, XX,  50, NEQ,   10,    8,    6,    8,     ,     ,  30,
EP, 11, 2025090106, 03, FNV3, 186, 181N, 1513W,  52,  997, XX,  64, NEQ,    3,    3,    2,    3,     ,     ,  30,
EP, 11, 2025090106, 03, FNV3, 192, 184N, 1528W,  49,  999, XX,  34, NEQ,   41,   31,   21,   35,     ,     ,  32,
EP, 11, 2025090106, 03, FNV3, 192, 184N, 1528W,  49,  999, XX,  50, NEQ,   10,    7,    5,    8,     ,     ,  32,
EP, 11, 2025090106, 03, FNV3, 192, 184N, 1528W,  49,  999, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  32,
EP, 11, 2025090106, 03, FNV3, 198, 185N, 1540W,  45, 1001, XX,  34, NEQ,   34,   25,   17,   28,     ,     ,  29,
EP, 11, 2025090106, 03, FNV3, 198, 185N, 1540W,  45, 1001, XX,  50, NEQ,    8,    6,    4,    6,     ,     ,  29,
EP, 11, 2025090106, 03, FNV3, 198, 185N, 1540W,  45, 1001, XX,  64, NEQ,    2,    1,    1,    2,     ,     ,  29,
EP, 11, 2025090106, 03, FNV3, 204, 188N, 1552W,  42, 1003, XX,  34, NEQ,   30,   23,   15,   25,     ,     ,  35,
