# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 30, 2025102006, 03, FNV3,  36, 177N, 1115E,  56,  989, XX,  34, NEQ,  152,  123,  108,  142,     ,     ,  27,
WP, 30, 2025102006, 03, FNV3,  36, 177N, 1115E,  56,  989, XX,  50, NEQ,   43,   34,   27,   36,     ,     ,  27,
WP, 30, 2025102006, 03, FNV3,  36, 177N, 1115E,  56,  989, XX,  64, NEQ,    4,    3,    3,    3,     ,     ,  27,
WP, 30, 2025102006, 03, FNV3,  42, 174N, 1110E,  51,  992, XX,  34, NEQ,  147,  121,  107,  135,     ,     ,  27,
WP, 30, 2025102006, 03, FNV3,  42, 174N, 1110E,  51,  992, XX,  50, NEQ,   24,   19,   15,   21,     ,     ,  27,
WP, 30, 2025102006, 03, FNV3,  42, 174N, 1110E,  51,  992, XX,  64, NEQ,    1,    1,    1,    2,     ,     ,  27,
WP, 30, 2025102006, 03, FNV3,  48, 172N, 1103E,  45,  996, XX,  34, NEQ,   93,   72,   62,   85,     ,     ,  28,
WP, 30, 2025102006, 03, FNV3,  48, 172N, 1103E,  45,  996, XX,  50, NEQ,   14,   10,    8,   11,     ,     ,  28,
WP, 30, 2025102006, 03, FNV3,  54, 170N, 1097E,  41,  998, XX,  34, NEQ,   71,   55,   48,   65,     ,     ,  29,
WP, 30, 2025102006, 03, FNV3,  54, 170N, 1097E,  41,  998, XX,  50, NEQ,    3,    2,    2,    3,     ,     ,  29,
WP, 30, 2025102006, 03, FNV3,  60, 167N, 1090E,  35, 1002, XX,  34, NEQ,   40,   31,   27,   37,     ,     ,  30,
WP, 30, 2025102006, 03, FNV3,  60, 167N, 1090E,  35, 1002, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  30,
WP, 30, 2025102006, 03, FNV3,  66, 165N, 1085E,  31, 1003, XX,  34, NEQ,   14,   11,    9,   14,     ,     ,  28,
WP, 30, 2025102006, 03, FNV3,  72, 164N, 1080E,  28, 1004, XX,  34, NEQ,    2,    1,    1,    2,     ,     ,  26,
WP, 30, 2025102006, 03, FNV3,  78, 163N, 1079E,  27, 1005, XX,  34, NEQ,    1,    0,    0,    1,     ,     ,  23,
