# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 12, 2025072918, 03, FNV3,  72, 335N, 1388E,  47,  983, XX,  64, NEQ,    2,    2,    1,    2,     ,     ,  32,
WP, 12, 2025072918, 03, FNV3,  78, 342N, 1389E,  46,  985, XX,  34, NEQ,   48,   47,   38,   40,     ,     ,  30,
WP, 12, 2025072918, 03, FNV3,  78, 342N, 1389E,  46,  985, XX,  50, NEQ,    9,    8,    6,    7,     ,     ,  30,
WP, 12, 2025072918, 03, FNV3,  78, 342N, 1389E,  46,  985, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  30,
WP, 12, 2025072918, 03, FNV3,  84, 347N, 1394E,  43,  986, XX,  34, NEQ,   41,   42,   34,   33,     ,     ,  34,
WP, 12, 2025072918, 03, FNV3,  84, 347N, 1394E,  43,  986, XX,  50, NEQ,    6,    6,    4,    5,     ,     ,  34,
WP, 12, 2025072918, 03, FNV3,  90, 356N, 1404E,  40,  988, XX,  34, NEQ,   35,   38,   30,   29,     ,     ,  33,
WP, 12, 2025072918, 03, FNV3,  90, 356N, 1404E,  40,  988, XX,  50, NEQ,    4,    4,    3,    3,     ,     ,  33,
WP, 12, 2025072918, 03, FNV3,  96, 368N, 1418E,  38,  988, XX,  34, NEQ,   33,   36,   28,   26,     ,     ,  37,
WP, 12, 2025072918, 03, FNV3,  96, 368N, 1418E,  38,  988, XX,  50, NEQ,    4,    4,    3,    3,     ,     ,  37,
WP, 12, 2025072918, 03, FNV3, 102, 381N, 1438E,  37,  989, XX,  34, NEQ,   27,   30,   24,   21,     ,     ,  42,
WP, 12, 2025072918, 03, FNV3, 102, 381N, 1438E,  37,  989, XX,  50, NEQ,    2,    3,    2,    2,     ,     ,  42,
WP, 12, 2025072918, 03, FNV3, 108, 396N, 1463E,  36,  990, XX,  34, NEQ,   27,   31,   25,   22,     ,     ,  48,
WP, 12, 2025072918, 03, FNV3, 108, 396N, 1463E,  36,  990, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  48,
WP, 12, 2025072918, 03, FNV3, 114, 407N, 1489E,  33,  992, XX,  34, NEQ,   16,   20,   15,   13,     ,     ,  49,
WP, 12, 2025072918, 03, FNV3, 120, 415N, 1516E,  32,  993, XX,  34, NEQ,   10,   13,    9,    8,     ,     ,  52,
WP, 12, 2025072918, 03, FNV3, 120, 415N, 1516E,  32,  993, XX,  50, NEQ,    1,    1,    1,    0,     ,     ,  52,
WP, 12, 2025072918, 03, FNV3, 126, 419N, 1544E,  31,  994, XX,  34, NEQ,    9,   11,    8,    7,     ,     ,  59,
WP, 12, 2025072918, 03, FNV3, 126, 419N, 1544E,  31,  994, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  59,
WP, 12, 2025072918, 03, FNV3, 132, 423N, 1574E,  30,  994, XX,  34, NEQ,   11,   13,   11,    9,     ,     ,  56,
WP, 12, 2025072918, 03, FNV3, 138, 425N, 1602E,  29,  995, XX,  34, NEQ,    4,    4,    3,    3,     ,     ,  60,
WP, 12, 2025072918, 03, FNV3, 138, 425N, 1602E,  29,  995, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  60,
WP, 12, 2025072918, 03, FNV3, 144, 428N, 1627E,  29,  996, XX,  34, NEQ,    2,    3,    2,    2,     ,     ,  63,
WP, 12, 2025072918, 03, FNV3, 150, 430N, 1655E,  28,  996, XX,  34, NEQ,    2,    3,    3,    2,     ,     ,  61,
WP, 12, 2025072918, 03, FNV3, 156, 433N, 1678E,  28,  996, XX,  34, NEQ,    6,    7,    7,    6,     ,     ,  62,
WP, 12, 2025072918, 03, FNV3, 162, 431N, 1694E,  28,  996, XX,  34, NEQ,    2,    3,    2,    2,     ,     ,  70,
WP, 12, 2025072918, 03, FNV3, 168, 429N, 1704E,  29,  995, XX,  34, NEQ,    6,    7,    5,    5,     ,     ,  61,
